unix_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
46324.8330521667,,,,,,,,,,,-88.7960510254,-122.7672729492,224.9574737549,,,,,,,,,,,,,,
46324934.18225,,,,,0.5946119661,0.1901912471,0.0272159084,,,,,,,,,,,,,,,,,,,,
46324941.811125,0.1492919922,-0.5472717285,-0.7012329102,,,,,,,,,,,,,,,,,,,,,,,,
46324.9340927083,,,,,,,,,,,-88.9642333984,-125.9625854492,224.7939910889,,,,,,,,,,,,,,
46325035.2192083,,,,,-0.1462919661,-0.1251054543,-0.0547215688,,,,,,,,,,,,,,,,,,,,
46325.035140625,,,,,,,,,,,-88.2915344238,-123.9444885254,224.1400451660,,,,,,,,,,,,,,
46325047.0528333,0.0852813721,-0.6145935059,-0.7083435059,,,,,,,,,,,,,,,,,,,,,,,,
46325136.2974167,,,,,-0.5367705040,0.0140772032,-0.2792124666,,,,,,,,,,,,,,,,,,,,
46325.13619225,,,,,,,,,,,-89.1324005127,-122.0945739746,224.6304931641,,,,,,,,,,,,,,
46325152.2769167,0.1641693115,-0.5835113525,-0.8752136230,,,,,,,,,,,,,,,,,,,,,,,,
46325236.8351667,,,,,-0.3695972245,-0.3724843574,-0.1846745089,,,,,,,,,,,,,,,,,,,,
46325.23667125,,,,,,,,,,,-85.9370880127,-119.5719604492,223.4860992432,,,,,,,,,,,,,,
46325257.4896667,0.0396575928,-0.5807800293,-1.0091247559,,,,,,,,,,,,,,,,,,,,,,,,
1451522719999.89,,,,,,,,,,,,,,52.49310158198,13.3853586483871,197.578125,0.0,36.873291015625,10.0,3.0,,,,,,,
46325337.9072083,,,,,0.3648421504,-0.2456744800,-0.0283277782,,,,,,,,,,,,,,,,,,,,
46325.33781925,,,,,,,,,,,-88.1233520508,-121.7582244873,223.9765472412,,,,,,,,,,,,,,
46325362.8483333,0.0510711670,-0.6042175293,-0.6355590820,,,,,,,,,,,,,,,,,,,,,,,,
46325439.1304167,,,,,-0.2992583464,0.1981327935,-0.3006565060,,,,,,,,,,,,,,,,,,,,
46325.4388628333,,,,,,,,,,,-86.9461364746,-119.9083099365,220.5433349609,,,,,,,,,,,,,,
46325468.1865,0.2323760986,-0.5141296387,-0.7831573486,,,,,,,,,,,,,,,,,,,,,,,,
46325539.847625,,,,,0.4841730725,-0.2363337088,0.2983355611,,,,,,,,,,,,,,,,,,,,
46325.5397849167,,,,,,,,,,,-85.2643890381,-120.2446441650,216.9466247559,,,,,,,,,,,,,,
46325572.4255417,-0.0030059814,-0.5977478027,-0.6729431152,,,,,,,,,,,,,,,,,,,,,,,,
46325640.9122083,,,,,0.5725553996,-0.0272420074,0.0922508349,,,,,,,,,,,,,,,,,,,,
46325.6408350833,,,,,,,,,,,-81.7327270508,-121.7582244873,211.8785552979,,,,,,,,,,,,,,
46325677.6147917,0.2382202148,-0.6318664551,-1.1660308838,,,,,,,,,,,,,,,,,,,,,,,,
46325741.3468333,,,,,1.6837242107,-0.5010639054,0.5615954265,,,,,,,,,,,,,,,,,,,,
46325.7412615833,,,,,,,,,,,-79.8828125000,-119.5719604492,211.3880920410,,,,,,,,,,,,,,
46325782.1859583,0.0727996826,-0.5256652832,-0.5580902100,,,,,,,,,,,,,,,,,,,,,,,,
46325842.382875,,,,,1.0358543492,-0.0552832295,0.5456380315,,,,,,,,,,,,,,,,,,,,
46325.8423017083,,,,,,,,,,,-84.4235229492,-128.4851989746,216.4561767578,,,,,,,,,,,,,,
46325887.3930833,-0.0792846680,-0.8335266113,-0.6684570312,,,,,,,,,,,,,,,,,,,,,,,,
46325943.5531667,,,,,-0.0634732488,0.2161014077,-0.2867116619,,,,,,,,,,,,,,,,,,,,
46325.9433408333,,,,,,,,,,,-82.2372589111,-128.3170166016,215.6387329102,,,,,,,,,,,,,,
46325992.1280417,0.1387786865,-0.7639007568,-0.5911560059,,,,,,,,,,,,,,,,,,,,,,,,
46326044.4365417,,,,,-0.1719094452,0.2121743104,-0.3002394550,,,,,,,,,,,,,,,,,,,,
46326.0443740833,,,,,,,,,,,-80.7236785889,-128.4851989746,214.4943389893,,,,,,,,,,,,,,
46326097.4060833,0.1703796387,-0.7128143311,-0.6572723389,,,,,,,,,,,,,,,,,,,,,,,,
46326145.2329167,,,,,0.0111594439,0.0345281498,0.1098633844,,,,,,,,,,,,,,,,,,,,
46326.1451675833,,,,,,,,,,,-80.3873291016,-127.8125000000,214.1673583984,,,,,,,,,,,,,,
46326202.785625,0.1199951172,-0.7663574219,-0.6298675537,,,,,,,,,,,,,,,,,,,,,,,,
46326246.3353333,,,,,-0.0613688189,0.1404716275,0.0418033733,,,,,,,,,,,,,,,,,,,,
46326.2462860417,,,,,,,,,,,-80.5555114746,-126.6352691650,215.3117675781,,,,,,,,,,,,,,
1451522720999.89,,,,,,,,,,,,,,52.49310158198,13.3853586483871,197.578125,0.0,36.8706665039062,10.0,3.0,,,,,,,
46326307.1695,0.1651763916,-0.6793670654,-0.7183380127,,,,,,,,,,,,,,,,,,,,,,,,
46326346.7019583,,,,,0.3921981411,-0.0368980969,0.5188173362,,,,,,,,,,,,,,,,,,,,
46326.3466042917,,,,,,,,,,,-80.5555114746,-129.3260650635,217.6005706787,,,,,,,,,,,,,,
46326412.2265833,0.0288238525,-0.7680053711,-0.5898132324,,,,,,,,,,,,,,,,,,,,,,,,
46326447.707,,,,,0.5845105961,-0.1031428974,0.6937217723,,,,,,,,,,,,,,,,,,,,
46326.44764175,,,,,,,,,,,-84.0871734619,-134.5394744873,220.0528717041,,,,,,,,,,,,,,
46326517.4344167,0.0040740967,-0.8749694824,-0.3998413086,,,,,,,,,,,,,,,,,,,,,,,,
46326548.7585833,,,,,0.2489914472,0.1589896518,0.5327781592,,,,,,,,,,,,,,,,,,,,
46326.5486852083,,,,,,,,,,,-86.1052551270,-135.2121734619,223.6495819092,,,,,,,,,,,,,,
46326622.6205417,-0.1914520264,-0.9858245850,-0.2289123535,,,,,,,,,,,,,,,,,,,,,,,,
46326649.8205833,,,,,0.4949777834,0.1884444798,0.8208634796,,,,,,,,,,,,,,,,,,,,
46326.6497375417,,,,,,,,,,,-86.2734375000,-136.0530395508,227.0827941895,,,,,,,,,,,,,,
46326727.8335833,-0.3565368652,-1.1031951904,-0.1008148193,,,,,,,,,,,,,,,,,,,,,,,,
46326750.8414583,,,,,-0.2159831634,0.1491655169,0.1361130980,,,,,,,,,,,,,,,,,,,,
