unix_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown
162099.101457333,,,,,,,,,,,-90.8141479492,3.3634796143,353.4578857422,,,,,,,,,,,,,,
162099133.172667,-0.2225189209,-0.9666595459,-0.7474822998,,,,,,,,,,,,,,,,,,,,,,,,
162099209.175875,,,,,-2.3699507825,-0.1624557560,-1.3342498314,,,,,,,,,,,,,,,,,,,,
162099.202409542,,,,,,,,,,,-89.6369171143,7.9041900635,353.6213989258,,,,,,,,,,,,,,
162099237.16,-0.1766052246,-0.2100830078,-1.2670135498,,,,,,,,,,,,,,,,,,,,,,,,
162099310.28275,,,,,0.2716155333,-0.5369864864,-0.6578452640,,,,,,,,,,,,,,,,,,,,
162099.303502667,,,,,,,,,,,-93.3367614746,11.6040191650,353.9483642578,,,,,,,,,,,,,,
162099342.65575,0.1502227783,-0.2240142822,-1.0037536621,,,,,,,,,,,,,,,,,,,,,,,,
162099411.30275,,,,,0.5510999086,-0.0152684352,0.4623162431,,,,,,,,,,,,,,,,,,,,
162099.404522708,,,,,,,,,,,-93.3367614746,9.9222717285,351.9865112305,,,,,,,,,,,,,,
162099447.5445,0.0338287354,-0.4368591309,-0.7988586426,,,,,,,,,,,,,,,,,,,,,,,,
162099512.340125,,,,,0.2586816251,0.6314024713,0.3852065443,,,,,,,,,,,,,,,,,,,,
162099.505562958,,,,,,,,,,,-94.6821594238,7.5678405762,352.3134765625,,,,,,,,,,,,,,
1451923574999.99,,,,,,,,,,,,,,52.3943619663384,13.1322961673263,291.4453125,1.66999995708466,33.7843627929688,5.0,6.0,,,,,,,
162099552.801042,-0.0533447266,-0.3056182861,-0.8647460938,,,,,,,,,,,,,,,,,,,,,,,,
162099613.376708,,,,,0.1530217741,0.0364560122,0.9185958990,,,,,,,,,,,,,,,,,,,,
162099.606601333,,,,,,,,,,,-92.8322296143,5.7179260254,352.1499938965,,,,,,,,,,,,,,
162099657.084042,-0.4117889404,-0.3911132812,-0.9669647217,,,,,,,,,,,,,,,,,,,,,,,,
162099714.413875,,,,,1.0290395863,-0.6488288659,0.3716627722,,,,,,,,,,,,,,,,,,,,
162099.707639792,,,,,,,,,,,-92.6640625000,1.5135650635,350.3516540527,,,,,,,,,,,,,,
162099762.325292,-0.1192779541,-0.5955047607,-0.7074279785,,,,,,,,,,,,,,,,,,,,,,,,
162099815.453542,,,,,1.6230968159,-0.9078694851,0.2958465708,,,,,,,,,,,,,,,,,,,,
162099.808681083,,,,,,,,,,,-97.7092895508,-3.8680114746,351.0056152344,,,,,,,,,,,,,,
162099867.539167,-0.1293640137,-0.6463470459,-0.6089782715,,,,,,,,,,,,,,,,,,,,,,,,
162099916.032042,,,,,-0.2525795241,0.7223246551,0.1354233393,,,,,,,,,,,,,,,,,,,,
162099.909743625,,,,,,,,,,,-93.1685791016,-4.0361938477,348.8802490234,,,,,,,,,,,,,,
162099972.754208,-0.3017578125,-0.7056121826,-0.3227081299,,,,,,,,,,,,,,,,,,,,,,,,
162100017.082833,,,,,-4.8513303555,2.0540423529,-0.2426571185,,,,,,,,,,,,,,,,,,,,
162100.010780333,,,,,,,,,,,-84.7598724365,5.0452270508,351.1690673828,,,,,,,,,,,,,,
162100077.976708,-0.3141632080,-0.0321044922,-1.4047393799,,,,,,,,,,,,,,,,,,,,,,,,
162100117.558292,,,,,-1.5157924629,0.1130669009,-1.5118496529,,,,,,,,,,,,,,,,,,,,
162100.111817792,,,,,,,,,,,-85.0962219238,16.4810791016,362.9401245117,,,,,,,,,,,,,,
162100181.782417,-0.5336151123,-0.1124267578,-1.0555725098,,,,,,,,,,,,,,,,,,,,,,,,
162100218.595667,,,,,-0.4283774508,-1.6097583735,-1.4353359695,,,,,,,,,,,,,,,,,,,,
162100.212855625,,,,,,,,,,,-102.2500000000,16.1447296143,363.5940551758,,,,,,,,,,,,,,
162100286.746833,-0.4127197266,-0.3222808838,-0.7787780762,,,,,,,,,,,,,,,,,,,,,,,,
162100319.63975,,,,,-0.5644271656,0.8110193710,-1.1910838838,,,,,,,,,,,,,,,,,,,,
162100.313897375,,,,,,,,,,,-106.2861785889,14.7993316650,362.6131591797,,,,,,,,,,,,,,
162100391.923125,-0.2556915283,-0.2201690674,-0.9638977051,,,,,,,,,,,,,,,,,,,,,,,,
162100420.675917,,,,,1.9312474572,3.9243577496,1.0408456457,,,,,,,,,,,,,,,,,,,,
162100.414934333,,,,,,,,,,,-99.5592041016,11.4358520508,354.7657775879,,,,,,,,,,,,,,
162100496.472667,-0.1829376221,-0.3092956543,-0.4618530273,,,,,,,,,,,,,,,,,,,,,,,,
1451923575999.99,,,,,,,,,,,,,,52.3943499802168,13.132268926141,241.171875,1.66999995708466,34.77001953125,5.0,6.0,,,,,,,
162100521.78725,,,,,2.8774065408,0.4317807044,0.2286033511,,,,,,,,,,,,,,,,,,,,
162100.515963375,,,,,,,,,,,-96.5320739746,-8.4087219238,344.3026428223,,,,,,,,,,,,,,
162100600.692958,-0.0274353027,-0.7087402344,-1.0053558350,,,,,,,,,,,,,,,,,,,,,,,,
162100622.8175,,,,,-0.3164826071,1.3564741770,-0.1818174697,,,,,,,,,,,,,,,,,,,,
162100.616995833,,,,,,,,,,,-88.2915344238,-7.5678558350,341.5233764648,,,,,,,,,,,,,,
162100705.893125,0.1415252686,-0.8041687012,-0.5248718262,,,,,,,,,,,,,,,,,,,,,,,,
162100723.876375,,,,,0.9051227007,1.0667262452,0.8294300699,,,,,,,,,,,,,,,,,,,,
162100.718061292,,,,,,,,,,,-81.7327270508,-10.0904693604,342.0138549805,,,,,,,,,,,,,,
162100810.817917,-0.0903625488,-1.0082702637,-0.4020996094,,,,,,,,,,,,,,,,,,,,,,,,
162100824.910083,,,,,-0.0527726675,-0.3284876047,0.0864419479,,,,,,,,,,,,,,,,,,,,
162100.819099375,,,,,,,,,,,-86.7779541016,-10.7631683350,343.3217163086,,,,,,,,,,,,,,
162100916.20425,0.0822906494,-1.0219116211,-0.4004669189,,,,,,,,,,,,,,,,,,,,,,,,
162100925.999208,,,,,-0.0868360958,-0.5988027164,0.2094368471,,,,,,,,,,,,,,,,,,,,
162100.920172458,,,,,,,,,,,-87.9551849365,-12.9494323730,344.1391601562,,,,,,,,,,,,,,
162101021.34875,-0.0975952148,-1.0581359863,-0.3190765381,,,,,,,,,,,,,,,,,,,,,,,,
162101027.083542,,,,,-0.0751887607,-0.4718370440,-0.1025910905,,,,,,,,,,,,,,,,,,,,
162101.021226125,,,,,,,,,,,-89.6369171143,-12.9494323730,343.4852294922,,,,,,,,,,,,,,
162101126.622,0.0039367676,-0.9680633545,-0.4049682617,,,,,,,,,,,,,,,,,,,,,,,,
162101128.217667,,,,,0.9647700523,-0.9574833772,-0.2485829183,,,,,,,,,,,,,,,,,,,,
162101.122379625,,,,,,,,,,,-93.8412780762,-12.4449005127,345.9375000000,,,,,,,,,,,,,,
162101228.993417,,,,,-0.1975133422,0.7739612181,-0.1922679802,,,,,,,,,,,,,,,,,,,,
162101231.748042,-0.0472869873,-1.1549682617,-0.4296417236,,,,,,,,,,,,,,,,,,,,,,,,
162101.223639708,,,,,,,,,,,-94.3458099365,-16.6492614746,345.1200561523,,,,,,,,,,,,,,
162101330.040833,,,,,0.0540421964,0.5581727318,-0.4007234524,,,,,,,,,,,,,,,,,,,,
162101.324752625,,,,,,,,,,,-92.4958801270,-18.4991760254,343.9756774902,,,,,,,,,,,,,,
162101336.977375,-0.0238800049,-1.0117187500,-0.1815643311,,,,,,,,,,,,,,,,,,,,,,,,
162101431.083667,,,,,-0.2830921597,0.0475129244,-0.1471803966,,,,,,,,,,,,,,,,,,,,
162101.425781333,,,,,,,,,,,-93.0004119873,-17.3219604492,344.4661254883,,,,,,,,,,,,,,
162101442.3645,0.0209655762,-1.0086212158,-0.1854400635,,,,,,,,,,,,,,,,,,,,,,,,
1451923576999.99,,,,,,,,,,,,,,52.3943440709751,13.1322514079633,241.171875,1.36000001430511,35.3211059570312,5.0,6.0,,,,,,,
162101532.122375,,,,,0.1782682749,-0.3143640624,-0.0697777500,,,,,,,,,,,,,,,,,,,,
162101.526429917,,,,,,,,,,,-94.8503265381,-17.8264923096,344.6296386719,,,,,,,,,,,,,,
162101547.416792,-0.0620727539,-1.0347747803,-0.1471252441,,,,,,,,,,,,,,,,,,,,,,,,
162101633.159917,,,,,0.2951445615,-0.0851053074,0.0489925767,,,,,,,,,,,,,,,,,,,,
162101.627511,,,,,,,,,,,-95.3548431396,-18.3310089111,344.7930908203,,,,,,,,,,,,,,
162101652.7645,-0.0571899414,-1.0799102783,-0.1617584229,,,,,,,,,,,,,,,,,,,,,,,,
162101734.197917,,,,,-0.0523777207,0.0638202587,0.0133474971,,,,,,,,,,,,,,,,,,,,
162101.728689125,,,,,,,,,,,-95.8593750000,-19.1718750000,346.5914611816,,,,,,,,,,,,,,
162101758.073833,-0.1779022217,-1.0655822754,-0.2142333984,,,,,,,,,,,,,,,,,,,,,,,,
162101835.247458,,,,,-0.3377138599,-0.0166988190,-0.1846998090,,,,,,,,,,,,,,,,,,,,
162101.829737083,,,,,,,,,,,-97.0365905762,-18.3310089111,345.7740478516,,,,,,,,,,,,,,
162101862.931208,-0.2077789307,-0.9446258545,-0.3580627441,,,,,,,,,,,,,,,,,,,,,,,,
162101936.299708,,,,,-0.5077223408,-0.2868858326,-0.2901668471,,,,,,,,,,,,,,,,,,,,
162101.9308025,,,,,,,,,,,-94.8503265381,-17.4901428223,344.9566040039,,,,,,,,,,,,,,
162101968.277333,-0.0687713623,-0.7500305176,-0.6241912842,,,,,,,,,,,,,,,,,,,,,,,,
162102037.342,,,,,-0.3252553260,-0.1103747114,-0.1091789520,,,,,,,,,,,,,,,,,,,,
162102.031466417,,,,,,,,,,,-95.0185089111,-14.9675292969,343.1582336426,,,,,,,,,,,,,,
162102073.4675,0.0244140625,-0.7883758545,-0.4563598633,,,,,,,,,,,,,,,,,,,,,,,,
162102138.398458,,,,,-0.1241653585,-0.5277343985,0.3550686155,,,,,,,,,,,,,,,,,,,,
162102.132506333,,,,,,,,,,,-96.7002410889,-11.6040344238,343.4852294922,,,,,,,,,,,,,,
162102178.682625,-0.1041259766,-0.8882904053,-0.1380920410,,,,,,,,,,,,,,,,,,,,,,,,
162102239.4555,,,,,-2.4579019438,1.5377251924,0.0014325144,,,,,,,,,,,,,,,,,,,,
162102.233546792,,,,,,,,,,,-90.8141479492,-2.3544464111,346.9184265137,,,,,,,,,,,,,,
162102283.912583,0.1078948975,-1.1479339600,-0.7451324463,,,,,,,,,,,,,,,,,,,,,,,,
162102340.492875,,,,,-0.5145666648,0.9392817365,-0.1347205311,,,,,,,,,,,,,,,,,,,,
162102.334585292,,,,,,,,,,,-83.4144744873,6.3906097412,350.5151367188,,,,,,,,,,,,,,
162102389.102708,-0.0048522949,-0.6168212891,-0.9213867188,,,,,,,,,,,,,,,,,,,,,,,,
162102441.532833,,,,,-0.1562567159,-0.7751529827,-0.2086128650,,,,,,,,,,,,,,,,,,,,
162102.435623042,,,,,,,,,,,-81.3963775635,11.7722015381,354.4388122559,,,,,,,,,,,,,,
162102493.56875,-0.0417785645,-0.7387390137,-0.8600921631,,,,,,,,,,,,,,,,,,,,,,,,
1451923577999.99,,,,,,,,,,,,,,52.3943437776085,13.132308740181,93.8671875,1.87000000476837,38.6581420898438,5.0,6.0,,,,,,,
162102542.578292,,,,,0.0444758555,-0.4524915755,0.0846123563,,,,,,,,,,,,,,,,,,,,
162102.536660917,,,,,,,,,,,-82.4054260254,13.4539337158,355.4197387695,,,,,,,,,,,,,,
162102597.467,-0.1017150879,-0.6462707520,-0.6399688721,,,,,,,,,,,,,,,,,,,,,,,,
162102643.618708,,,,,-0.3202288758,0.1789995790,0.1828521078,,,,,,,,,,,,,,,,,,,,
162102.637699167,,,,,,,,,,,-81.7327270508,14.7993316650,357.7085571289,,,,,,,,,,,,,,
162102702.351167,-0.0634613037,-0.6062164307,-1.0050354004,,,,,,,,,,,,,,,,,,,,,,,,
162102744.09425,,,,,0.4504539910,-0.0180756733,0.1355423826,,,,,,,,,,,,,,,,,,,,
162102.738750625,,,,,,,,,,,-80.0509796143,16.4810791016,359.3434143066,,,,,,,,,,,,,,
162102807.139708,-0.0341339111,-0.7028503418,-1.1998748779,,,,,,,,,,,,,,,,,,,,,,,,
162102845.134458,,,,,-1.5074354634,1.5356974615,0.2225949934,,,,,,,,,,,,,,,,,,,,
162102.839789458,,,,,,,,,,,-78.8737640381,16.6492462158,367.0272827148,,,,,,,,,,,,,,
162102911.407625,-0.1332397461,-0.5016632080,-0.5628662109,,,,,,,,,,,,,,,,,,,,,,,,
162102946.170542,,,,,0.2021291330,0.6399839752,-0.4193104526,,,,,,,,,,,,,,,,,,,,
162102.94083175,,,,,,,,,,,-78.7055969238,15.4720306396,361.3052368164,,,,,,,,,,,,,,
162103016.309542,-0.0144958496,-0.6715850830,-0.7525329590,,,,,,,,,,,,,,,,,,,,,,,,
162103047.211417,,,,,0.0829952848,-0.6152506656,0.4506864850,,,,,,,,,,,,,,,,,,,,
162103.041870667,,,,,,,,,,,-80.3873291016,13.1175842285,364.2479858398,,,,,,,,,,,,,,
162103121.552792,-0.1653594971,-0.5499572754,-0.7330017090,,,,,,,,,,,,,,,,,,,,,,,,
162103148.247083,,,,,-0.9312246089,0.0685396464,-0.7613697925,,,,,,,,,,,,,,,,,,,,
162103.142664458,,,,,,,,,,,-79.5464630127,15.9765472412,365.0654296875,,,,,,,,,,,,,,
162103226.795417,0.1404724121,-0.4754028320,-1.0707855225,,,,,,,,,,,,,,,,,,,,,,,,
162103249.288333,,,,,0.5741516984,-0.2075273606,-0.1524939356,,,,,,,,,,,,,,,,,,,,
162103.243707833,,,,,,,,,,,-79.5464630127,17.6582946777,366.0463562012,,,,,,,,,,,,,,
162103331.229667,-0.0424194336,-0.6313171387,-0.6238708496,,,,,,,,,,,,,,,,,,,,,,,,
162103350.325167,,,,,0.4302802794,-0.5061473473,0.4356334995,,,,,,,,,,,,,,,,,,,,
162103.344760875,,,,,,,,,,,-80.7236785889,15.1356811523,362.2861633301,,,,,,,,,,,,,,
162103436.47475,0.0092163086,-0.6819000244,-0.7885437012,,,,,,,,,,,,,,,,,,,,,,,,
162103451.366833,,,,,-0.6460573141,1.3793302244,-0.8605757389,,,,,,,,,,,,,,,,,,,,
162103.445800625,,,,,,,,,,,-79.0419464111,18.4991607666,364.9019470215,,,,,,,,,,,,,,
1451923578999.99,,,,,,,,,,,,,,52.3943426460516,13.1323361490044,93.8671875,1.87000000476837,39.5948486328125,5.0,6.0,,,,,,,
162103540.954708,0.3807067871,-0.2049102783,-1.0509338379,,,,,,,,,,,,,,,,,,,,,,,,
162103552.406667,,,,,0.2212168075,0.2098850571,-0.7221912307,,,,,,,,,,,,,,,,,,,,
162103.546842375,,,,,,,,,,,-75.5102844238,21.0217895508,363.4305725098,,,,,,,,,,,,,,
162103646.179542,0.1526031494,0.0188293457,-1.1187438965,,,,,,,,,,,,,,,,,,,,,,,,
162103653.444375,,,,,0.8594516186,0.0145142279,-0.0146551092,,,,,,,,,,,,,,,,,,,,
162103.647886417,,,,,,,,,,,-76.1829833984,19.6763916016,362.4496459961,,,,,,,,,,,,,,
162103751.379083,0.1237792969,-0.3119049072,-1.0390777588,,,,,,,,,,,,,,,,,,,,,,,,
162103754.4835,,,,,-0.0201840979,-0.8581578549,0.6793010214,,,,,,,,,,,,,,,,,,,,
162103.748923708,,,,,,,,,,,-78.2010650635,17.3219451904,359.8338623047,,,,,,,,,,,,,,
162103855.532458,,,,,1.6294955930,-1.8262065248,0.2823741714,,,,,,,,,,,,,,,,,,,,
162103856.587125,-0.1083374023,-0.2711944580,-0.8009490967,,,,,,,,,,,,,,,,,,,,,,,,
162103.849964167,,,,,,,,,,,-82.0690765381,12.7812347412,355.4197387695,,,,,,,,,,,,,,
162103956.568375,,,,,0.8838797300,-1.4300748948,0.6877368504,,,,,,,,,,,,,,,,,,,,
162103.951006083,,,,,,,,,,,-85.0962219238,10.4268035889,353.7848510742,,,,,,,,,,,,,,
162103961.786708,-0.1821441650,-0.5076904297,-0.8230133057,,,,,,,,,,,,,,,,,,,,,,,,
162104057.604792,,,,,0.0634359645,-0.4887595685,0.1813950924,,,,,,,,,,,,,,,,,,,,
162104.052045292,,,,,,,,,,,-86.4416046143,10.4268035889,354.4388122559,,,,,,,,,,,,,,
162104067.000458,-0.2127227783,-0.5185089111,-0.9144897461,,,,,,,,,,,,,,,,,,,,,,,,
162104158.640292,,,,,0.6144309446,0.7529488771,0.1573685857,,,,,,,,,,,,,,,,,,,,
162104.153082,,,,,,,,,,,-87.1143035889,9.0814056396,351.1690673828,,,,,,,,,,,,,,
162104172.165208,-0.3649597168,-0.5095520020,-0.9352722168,,,,,,,,,,,,,,,,,,,,,,,,
162104259.667208,,,,,-0.9043575745,-0.6870111390,-0.7134315613,,,,,,,,,,,,,,,,,,,,
162104.254119333,,,,,,,,,,,-82.7417755127,7.7360076904,350.8421020508,,,,,,,,,,,,,,
162104277.489292,-0.0032958984,-0.3904266357,-1.6949768066,,,,,,,,,,,,,,,,,,,,,,,,
162104360.713167,,,,,0.4267404057,1.1513125024,0.1917862143,,,,,,,,,,,,,,,,,,,,
162104.355155708,,,,,,,,,,,-82.2372589111,4.8770446777,349.6976928711,,,,,,,,,,,,,,
162104381.853833,-0.1813659668,-0.5922241211,-0.6229095459,,,,,,,,,,,,,,,,,,,,,,,,
162104461.753625,,,,,0.1765007349,-0.0860062548,0.2210839158,,,,,,,,,,,,,,,,,,,,
162104.45619325,,,,,,,,,,,-81.9009094238,6.2224426270,352.3134765625,,,,,,,,,,,,,,
162104487.144417,-0.1244049072,-0.5716857910,-0.7308197021,,,,,,,,,,,,,,,,,,,,,,,,
1451923579999.99,,,,,,,,,,,,,,52.394387447324,13.1325616221997,81.2109375,1.87000000476837,38.8692016601562,5.0,6.0,,,,,,,
162104562.808417,,,,,-0.8026426641,0.2386083147,-0.0931216886,,,,,,,,,,,,,,,,,,,,
162104.557230875,,,,,,,,,,,-79.2101135254,4.8770446777,350.6786193848,,,,,,,,,,,,,,
162104592.394792,-0.0096435547,-0.6158905029,-1.2395172119,,,,,,,,,,,,,,,,,,,,,,,,
162104663.874333,,,,,0.6678494287,0.6460866089,0.2917298563,,,,,,,,,,,,,,,,,,,,
162104.658272917,,,,,,,,,,,-80.0509796143,6.0542755127,353.4578857422,,,,,,,,,,,,,,
162104697.644917,-0.1328277588,-0.5101470947,-0.3686065674,,,,,,,,,,,,,,,,,,,,,,,,
162104764.795583,,,,,-1.3806237218,-0.4477378330,-0.3759600490,,,,,,,,,,,,,,,,,,,,
162104.759311083,,,,,,,,,,,-80.0509796143,7.3996582031,354.1118164062,,,,,,,,,,,,,,
162104802.914375,-0.1203765869,-0.4011688232,-0.9319915771,,,,,,,,,,,,,,,,,,,,,,,,
162104865.892083,,,,,-0.4893268218,0.1783665456,-0.1978720700,,,,,,,,,,,,,,,,,,,,
162104.860353208,,,,,,,,,,,-77.5283660889,7.5678405762,354.6022949219,,,,,,,,,,,,,,
162104908.051125,-0.0663146973,-0.4188385010,-1.6070251465,,,,,,,,,,,,,,,,,,,,,,,,
162104966.928083,,,,,0.9642960096,0.1995863468,0.3310889804,,,,,,,,,,,,,,,,,,,,
162104.961395417,,,,,,,,,,,-79.0419464111,6.0542755127,355.0927734375,,,,,,,,,,,,,,
162105012.577708,-0.0598907471,-0.4767608643,-0.5319213867,,,,,,,,,,,,,,,,,,,,,,,,
162105067.964083,,,,,0.2507629819,-0.7666377914,-0.2217113565,,,,,,,,,,,,,,,,,,,,
162105.062434875,,,,,,,,,,,-79.8828125000,5.8860931396,353.6213989258,,,,,,,,,,,,,,
162105117.827167,-0.1041412354,-0.5542297363,-0.8744506836,,,,,,,,,,,,,,,,,,,,,,,,
162105168.999792,,,,,0.2576001154,-0.5501257243,0.3042877261,,,,,,,,,,,,,,,,,,,,
162105.163474375,,,,,,,,,,,-81.7327270508,5.0452270508,351.4960327148,,,,,,,,,,,,,,
162105222.710292,-0.0930175781,-0.4486999512,-0.7240447998,,,,,,,,,,,,,,,,,,,,,,,,
162105270.041125,,,,,0.3595864020,0.2885764073,0.0523239249,,,,,,,,,,,,,,,,,,,,
162105.2645505,,,,,,,,,,,-84.4235229492,2.3544311523,352.1499938965,,,,,,,,,,,,,,
162105327.868042,-0.2093200684,-0.5446472168,-1.0509796143,,,,,,,,,,,,,,,,,,,,,,,,
162105371.089042,,,,,0.4767828005,-0.0980605208,0.4958201412,,,,,,,,,,,,,,,,,,,,
162105.365588667,,,,,,,,,,,-83.9189910889,3.5316467285,350.6786193848,,,,,,,,,,,,,,
162105432.7865,-0.2776641846,-0.5374450684,-0.3817291260,,,,,,,,,,,,,,,,,,,,,,,,
162105472.127375,,,,,-0.8475089390,0.1177900171,-0.7216695175,,,,,,,,,,,,,,,,,,,,
162105.466629,,,,,,,,,,,-83.0781250000,2.6907806396,350.8421020508,,,,,,,,,,,,,,
162105537.631792,-0.1043701172,-0.5051116943,-0.9164886475,,,,,,,,,,,,,,,,,,,,,,,,
1451923580999.99,,,,,,,,,,,,,,52.3944017803784,13.1327011808875,85.078125,8.43000030517578,38.239013671875,5.0,6.0,,,,,,,
162105573.170208,,,,,0.4056540288,0.2167560127,0.5744038997,,,,,,,,,,,,,,,,,,,,
162105.56767725,,,,,,,,,,,-82.5736083984,1.5135650635,351.0056152344,,,,,,,,,,,,,,
162105642.92275,-0.2342681885,-0.4857482910,-1.0387115479,,,,,,,,,,,,,,,,,,,,,,,,
162105674.206208,,,,,-0.2346162362,-0.1189676670,-0.0778210292,,,,,,,,,,,,,,,,,,,,
162105.668715542,,,,,,,,,,,-82.5736083984,3.5316467285,351.6595458984,,,,,,,,,,,,,,
162105748.201917,-0.1669464111,-0.4169158936,-0.7132263184,,,,,,,,,,,,,,,,,,,,,,,,
162105775.247583,,,,,-0.8982275104,0.0472031987,-0.1209980610,,,,,,,,,,,,,,,,,,,,
162105.769438625,,,,,,,,,,,-81.2282104492,4.2043457031,354.2753295898,,,,,,,,,,,,,,
162105853.407917,-0.2524261475,-0.4607543945,-0.9119567871,,,,,,,,,,,,,,,,,,,,,,,,
162105876.284583,,,,,0.5145948943,0.7969243246,0.4463737619,,,,,,,,,,,,,,,,,,,,
162105.870476083,,,,,,,,,,,-79.5464630127,2.8589630127,352.9674377441,,,,,,,,,,,,,,
162105958.615708,-0.1485595703,-0.2742767334,-0.8311920166,,,,,,,,,,,,,,,,,,,,,,,,
162105977.405292,,,,,-0.5958207749,0.8220890664,-0.2690186849,,,,,,,,,,,,,,,,,,,,
162105.971525417,,,,,,,,,,,-73.4921875000,4.2043457031,353.2944030762,,,,,,,,,,,,,,
162106063.784917,-0.1898651123,-0.4526519775,-1.0465087891,,,,,,,,,,,,,,,,,,,,,,,,
162106078.486292,,,,,0.5273594254,-0.3546795277,0.7081324033,,,,,,,,,,,,,,,,,,,,
162106.072590667,,,,,,,,,,,-77.0238494873,4.0361785889,353.4578857422,,,,,,,,,,,,,,
162106169.0435,0.0347595215,-0.3814392090,-0.8258819580,,,,,,,,,,,,,,,,,,,,,,,,
162106179.576583,,,,,-0.5256675191,-0.3557482542,-0.5843803675,,,,,,,,,,,,,,,,,,,,
162106.173628417,,,,,,,,,,,-78.5374145508,2.8589630127,351.3325805664,,,,,,,,,,,,,,
162106273.701875,-0.2632904053,-0.5898284912,-0.9512176514,,,,,,,,,,,,,,,,,,,,,,,,
162106280.6205,,,,,0.1236961095,-0.2311991342,0.3891632027,,,,,,,,,,,,,,,,,,,,
162106.273792208,,,,,,,,,,,-79.0419464111,3.3634796143,352.1499938965,,,,,,,,,,,,,,
162106378.90425,-0.0781860352,-0.6093597412,-0.4362182617,,,,,,,,,,,,,,,,,,,,,,,,
162106381.658083,,,,,0.1474722790,0.3170381425,-0.5148641399,,,,,,,,,,,,,,,,,,,,
162106.374831042,,,,,,,,,,,-78.0328979492,1.3453826904,350.1881713867,,,,,,,,,,,,,,
162106482.625583,,,,,0.1447513274,0.0861303581,-0.1804832260,,,,,,,,,,,,,,,,,,,,
162106484.126125,0.1661071777,-0.6586608887,-0.8624725342,,,,,,,,,,,,,,,,,,,,,,,,
162106.47589325,,,,,,,,,,,-78.0328979492,4.3725280762,347.2454223633,,,,,,,,,,,,,,
1451923581999.99,,,,,,,,,,,,,,52.3944086116295,13.1328285019967,85.078125,8.69999980926514,38.9135131835938,10.0,6.0,,,,,,,
162106583.664958,,,,,-0.0565447689,0.3804336270,-0.2216727407,,,,,,,,,,,,,,,,,,,,
162106.576234583,,,,,,,,,,,-77.3601989746,4.7088775635,348.2263183594,,,,,,,,,,,,,,
162106589.246792,0.1516113281,-0.5265045166,-0.7964935303,,,,,,,,,,,,,,,,,,,,,,,,
162106684.7015,,,,,0.0449115486,0.5396432559,0.1382622690,,,,,,,,,,,,,,,,,,,,
162106.67727625,,,,,,,,,,,-73.8285369873,4.5406951904,346.4279785156,,,,,,,,,,,,,,
162106694.458708,0.1436767578,-0.5967712402,-0.8067779541,,,,,,,,,,,,,,,,,,,,,,,,
162106785.740708,,,,,-0.2572834655,0.4087257188,-0.2748099950,,,,,,,,,,,,,,,,,,,,
162106.778314583,,,,,,,,,,,-70.8013916016,6.5587921143,346.4279785156,,,,,,,,,,,,,,
162106799.418958,0.2702178955,-0.6653289795,-0.8199920654,,,,,,,,,,,,,,,,,,,,,,,,
162106886.777208,,,,,-0.1892434281,-0.4254612894,-0.0049638660,,,,,,,,,,,,,,,,,,,,
162106.879352208,,,,,,,,,,,-69.4560089111,8.9132385254,343.1582336426,,,,,,,,,,,,,,
162106904.623167,0.5051879883,-0.6504211426,-0.9437713623,,,,,,,,,,,,,,,,,,,,,,,,
162106987.814792,,,,,-0.1757350761,-0.1967101329,0.6427350206,,,,,,,,,,,,,,,,,,,,
162106.980393792,,,,,,,,,,,-71.3059234619,10.0904541016,342.0138549805,,,,,,,,,,,,,,
162107008.330875,0.3301239014,-0.7058105469,-0.7087249756,,,,,,,,,,,,,,,,,,,,,,,,
162107088.855875,,,,,-0.2607346560,0.4536276801,0.5336415561,,,,,,,,,,,,,,,,,,,,
162107.081431667,,,,,,,,,,,-72.8194885254,10.9313201904,341.1964111328,,,,,,,,,,,,,,
162107113.051833,0.3654327393,-0.8469848633,-0.8064727783,,,,,,,,,,,,,,,,,,,,,,,,
162107189.89275,,,,,0.0843175443,-0.5572084012,1.4576719016,,,,,,,,,,,,,,,,,,,,
162107.182473,,,,,,,,,,,-78.3692474365,10.0904541016,338.7441101074,,,,,,,,,,,,,,
162107218.25525,0.0905609131,-0.9640350342,-1.1125793457,,,,,,,,,,,,,,,,,,,,,,,,
162107290.929042,,,,,1.0839885890,-1.6871873854,1.1237008483,,,,,,,,,,,,,,,,,,,,
162107.283511292,,,,,,,,,,,-88.6278839111,4.2043457031,336.9457397461,,,,,,,,,,,,,,
162107323.510083,0.1671447754,-0.5872497559,-0.7921905518,,,,,,,,,,,,,,,,,,,,,,,,
162107391.966542,,,,,0.8816679747,-1.2727047112,0.2398900941,,,,,,,,,,,,,,,,,,,,
162107.384553125,,,,,,,,,,,-101.4091339111,-0.1681823730,333.6760253906,,,,,,,,,,,,,,
162107428.732875,0.4258575439,-0.6163940430,-0.8515930176,,,,,,,,,,,,,,,,,,,,,,,,
162107493.017625,,,,,0.2535630295,1.2933362202,0.6124711243,,,,,,,,,,,,,,,,,,,,
162107.48559125,,,,,,,,,,,-103.7635650635,4.2043457031,330.7332763672,,,,,,,,,,,,,,
