unix_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown
162062106.679792,-0.1375122070,-0.6895599365,-0.7576904297,,,,,,,,,,,,,,,,,,,,,,,,
162062150.949625,,,,,0.0479097354,0.1378079338,-0.0605016936,,,,,,,,,,,,,,,,,,,,
162062.148196375,,,,,,,,,,,-66.0925140381,-19.0037078857,365.0654296875,,,,,,,,,,,,,,
162062211.392292,-0.1135559082,-0.6777343750,-0.7144012451,,,,,,,,,,,,,,,,,,,,,,,,
162062251.985292,,,,,-0.1349373124,0.1606815581,-0.0664746313,,,,,,,,,,,,,,,,,,,,
162062.24923325,,,,,,,,,,,-66.7652130127,-19.6764068604,364.7384643555,,,,,,,,,,,,,,
162062316.60475,-0.1046600342,-0.6245574951,-0.6261291504,,,,,,,,,,,,,,,,,,,,,,,,
162062353.021375,,,,,-1.5695310590,0.1073040866,0.1903869895,,,,,,,,,,,,,,,,,,,,
162062.350274917,,,,,,,,,,,-66.0925140381,-16.3129119873,364.4114990234,,,,,,,,,,,,,,
162062421.869625,-0.1699676514,-0.6190185547,-0.9022064209,,,,,,,,,,,,,,,,,,,,,,,,
162062454.061208,,,,,-0.0381186236,1.1467720791,0.2099649519,,,,,,,,,,,,,,,,,,,,
162062.451311542,,,,,,,,,,,-67.4379119873,-16.3129119873,367.3542480469,,,,,,,,,,,,,,
162062526.731167,-0.0758972168,-0.6281890869,-0.7166900635,,,,,,,,,,,,,,,,,,,,,,,,
162062555.108333,,,,,-0.4537243528,0.4128208616,-0.2038868194,,,,,,,,,,,,,,,,,,,,
1451923537620.43,,,,,,,,,,,,,,52.3940658044946,13.1329703615199,-1.0,-1.0,33.0,65.0,10.0,,,,,,,
162062.552350167,,,,,,,,,,,-65.0834655762,-16.6492614746,366.0463562012,,,,,,,,,,,,,,
162062631.533875,-0.0140228271,-0.5645599365,-0.8338928223,,,,,,,,,,,,,,,,,,,,,,,,
162062656.144542,,,,,0.2131476957,0.2359203862,0.1240993121,,,,,,,,,,,,,,,,,,,,
162062.652641333,,,,,,,,,,,-65.2516479492,-17.1537933350,369.1525878906,,,,,,,,,,,,,,
162062736.753083,-0.0761413574,-0.5556488037,-0.8240966797,,,,,,,,,,,,,,,,,,,,,,,,
162062757.191625,,,,,0.0102353270,0.2093002269,-0.0117826236,,,,,,,,,,,,,,,,,,,,
